3.157557060404915905e+00 1.852349374658580350e-01 2.678083407401398233e-02
5.671400094221779042e-01 5.002361325236309719e-01 5.411487335057189874e-03
3.317068192981635910e-01 2.954799155901264851e-01 4.913349929314746699e-03
6.228683931724674494e-01 3.502475611739519490e-01 7.490952103102742864e-03
6.342507033924729143e-01 5.510205131651465527e-01 5.355371801931414766e-03
4.444881379081886408e-01 3.500223159944546025e-01 3.259109340046012233e-03
4.945553296216265160e-01 3.508195714149958122e-01 4.225279296268476953e-03
3.866388200372532502e-01 3.508243849293266048e-01 3.921495850666753720e-03
5.468883758527272043e-01 3.503259339193330879e-01 8.098745653574069073e-03
5.557113059288489865e-01 5.004826126805911324e-01 8.221425433981945086e-03
6.236794036371522409e-01 5.508666839022934303e-01 5.122323224361602020e-03
6.830224727966855980e-01 5.021705033027437093e-01 5.366145168807834147e-03
5.936337796988038207e-01 5.019542769940371629e-01 4.039828399557961018e-03
6.055727412811293675e-01 5.023474854931540001e-01 4.220179366476717146e-03
5.294339655608086836e-01 3.500164288861046802e-01 5.333974080160976822e-03
6.756231155171645852e-01 5.078482808524923398e-01 5.423148854207121734e-03
5.346222021510014244e-01 1.529846624777375097e-01 2.137988429497036415e-03
4.936593558641355628e-01 3.504008269986155777e-01 3.202597823247504624e-03
6.531676586824897157e-01 3.504221211079057707e-01 6.283146147494177332e-03
6.498091433873032230e-01 5.517069431244300270e-01 4.710963270016458281e-03
6.171203844815851269e-01 3.503584877946692155e-01 6.424302721390570334e-03
1.135112172032330946e+00 3.706981454654187380e-01 8.736432954347360391e-03
6.664185247113945110e-01 5.032780029838793689e-01 5.104543199492047462e-03
5.325128575332129799e-01 5.002317717940487629e-01 4.155892355040564229e-03
5.463972196304864859e-01 2.056716339911288105e-01 3.580137063354926936e-03
5.604699216971642528e-01 5.011187891896697888e-01 3.603324062789117852e-03
6.579648578733756636e-01 5.010381747195490343e-01 5.462056931002916976e-03
5.954831862641718487e-01 5.464260804338526567e-01 1.369419889281669979e-03
